,Sym,Name,Industry,M Cap,%5d
0,14D,1414 DEGREES LIMITED,Capital Goods,$8M,-6.896551724137937
1,29M,29METALS LIMITED,Materials,$296M,0.0
2,T3D,333D LIMITED,Commercial & Professional Services,$2M,20.0
3,TGP,360 CAPITAL GROUP,Financial Services,$136M,0.0
4,TCF,360 CAPITAL MORTGAGE REIT,Not Applic,$28M,-0.8460236886632796
5,TOT,360 CAPITAL REIT,Equity Real Estate Investment Trusts (REITs),$90M,2.531645569620255
6,TDO,3D ENERGI LIMITED,Energy,$30M,-0.5464480874316945
7,3PL,3P LEARNING LIMITED..,Consumer Services,$231M,4.3209876543209775
8,4DX,4DMEDICAL LIMITED,Health Care Equipment & Services,$183M,3.2967032967032996
9,4DS,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment,$81M,-19.999999999999996
10,5EA,5E ADVANCED MATERIALS INC.,Materials,$50M,1.3888888888888902
11,5GN,5G NETWORKS LIMITED.,Software & Services,$52M,-8.333333333333327
12,88E,88 ENERGY LIMITED,Energy,$58M,33.333333333333336
13,8CO,8COMMON LIMITED,Software & Services,$7M,-1.5873015873015888
14,8IH,8I HOLDINGS LTD,Financial Services,$3M,11.111111111111121
15,8VI,8VI HOLDINGS LIMITED,Consumer Services,$1M,-64.58333333333333
16,AYI,A1 INVESTMENTS & RESOURCES LTD,Financial Services,NaN,0.0
17,ABG,ABACUS GROUP,Equity Real Estate Investment Trusts (REITs),$1B,2.5974025974025996
18,ASK,ABACUS STORAGE KING,Equity Real Estate Investment Trusts (REITs),$2B,1.709401709401711
19,ABX,ABX GROUP LIMITED,Materials,$8M,17.14285714285714
20,AKG,ACADEMIES AUSTRALASIA GROUP LIMITED,Consumer Services,$16M,0.0
21,AX8,ACCELERATE RESOURCES LIMITED,Materials,$4M,-18.749999999999996
22,AX1,ACCENT GROUP LIMITED,Consumer Discretionary Distribution & Retail,$1B,4.845814977973562
23,ACS,ACCENT RESOURCES NL,Materials,$3M,0.0
24,ADC,ACDC METALS LTD,Materials,$4M,0.0
25,ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED,Not Applic,$74M,0.6060606060606201
26,ACF,ACROW LIMITED,Capital Goods,$324M,4.854368932038839
27,ACR,ACRUX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$13M,0.0
28,ACW,ACTINOGEN MEDICAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$75M,0.0
29,ATV,ACTIVEPORT GROUP LTD,Software & Services,$11M,0.0
30,AIV,ACTIVEX LIMITED,Materials,$2M,0.0
31,ACU,ACUMENTIS GROUP LIMITED,Real Estate Management & Development,$17M,5.128205128205133
32,ACE,ACUSENSUS LIMITED.,Software & Services,$159M,2.7272727272727293
33,ADA,ADACEL TECHNOLOGIES LIMITED,Software & Services,$34M,1.0989010989010999
34,ADH,ADAIRS LIMITED,Consumer Discretionary Distribution & Retail,$470M,-2.5270758122743624
35,1AD,ADALTA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$9M,0.0
36,ADD,ADAVALE RESOURCES LIMITED,Energy,$3M,0.0
37,ADG,ADELONG GOLD LIMITED,Materials,$4M,11.111111111111121
38,ADR,ADHERIUM LIMITED,Health Care Equipment & Services,$11M,24.999999999999993
39,AI1,ADISYN LTD,Software & Services,$22M,2.7777777777777803
40,ADY,ADMIRALTY RESOURCES NL.,Materials,$16M,0.0
41,AD1,ADNEO LIMITED,Media & Entertainment,$7M,0.0
42,ABY,ADORE BEAUTY GROUP LIMITED,Consumer Discretionary Distribution & Retail,$86M,1.111111111111112
43,AHL,ADRAD HOLDINGS LIMITED,Automobiles & Components,$54M,0.0
44,ADT,ADRIATIC METALS PLC,Materials,$1B,-1.0000000000000009
45,ADS,ADSLOT LTD.,Software & Services,$5M,0.0
46,AVM,ADVANCE METALS LIMITED,Materials,NaN,0.0
47,ANO,ADVANCE ZINCTEK LIMITED,Materials,$48M,-0.6535947712418306
48,ABV,ADVANCED BRAKING TECHNOLOGY LTD,Automobiles & Components,$32M,2.469135802469138
49,AHI,ADVANCED HEALTH INTELLIGENCE LTD,Software & Services,NaN,0.0
50,AV1,ADVERITAS LIMITED,Software & Services,$71M,-10.000000000000009
51,ADX,ADX ENERGY LTD,Energy,$18M,10.344827586206893
52,AER,AEERIS LTD,Media & Entertainment,$4M,3.3333333333333366
53,AML,AEON METALS LIMITED.,Materials,NaN,0.0
54,AEI,AERIS ENVIRONMENTAL LTD,Commercial & Professional Services,$19M,-4.878048780487809
55,AIS,AERIS RESOURCES LIMITED,Materials,$165M,0.0
56,AMX,AEROMETREX LIMITED,Commercial & Professional Services,$28M,-1.6949152542372898
57,AFL,AF LEGAL GROUP LTD,Commercial & Professional Services,$13M,0.0
58,A1G,AFRICAN GOLD LTD.,Materials,$19M,4.0000000000000036
59,AFP,AFT PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$267M,1.7415263131375006e-14
60,AGL,AGL ENERGY LIMITED.,Utilities,$7B,3.258845437616384
61,AMN,AGRIMIN LIMITED,Materials,$43M,-13.333333333333329
62,AGR,AGUIA RESOURCES LIMITED,Materials,$49M,12.50000000000001
63,AIM,AI-MEDIA TECHNOLOGIES LIMITED,Commercial & Professional Services,$193M,17.283950617283953
64,A1M,AIC MINES LIMITED,Materials,$184M,3.1250000000000027
65,APW,AIMS PROPERTY SECURITIES FUND,Equity Real Estate Investment Trusts (REITs),$75M,-1.1695906432748548
66,AGI,AINSWORTH GAME TECHNOLOGY LIMITED,Consumer Services,$273M,-2.9940119760478936
67,AIZ,AIR NEW ZEALAND LIMITED,Transportation,$2B,6.499999999999995
68,ART,AIRTASKER LIMITED,Media & Entertainment,$184M,11.999999999999995
69,AJL,AJ LUCAS GROUP LIMITED,Capital Goods,$10M,-14.285714285714286
70,AKO,AKORA RESOURCES LIMITED,Materials,$13M,0.0
71,AUQ,ALARA RESOURCES LIMITED,Materials,$27M,30.000000000000007
72,ALB,ALBION RESOURCES LIMITED,Materials,$3M,-8.888888888888882
73,ALY,ALCHEMY RESOURCES LIMITED,Materials,$8M,0.0
74,ALC,ALCIDION GROUP LIMITED,Health Care Equipment & Services,$79M,-1.6666666666666567
75,AAI,ALCOA CORPORATION,Materials,$16B,2.8062510502436595
76,ARN,ALDORO RESOURCES LIMITED,Materials,$40M,12.903225806451625
77,AJX,ALEXIUM INTERNATIONAL GROUP LIMITED,Materials,$19M,-7.692307692307686
78,AAL,ALFABS AUSTRALIA LIMITED,Capital Goods,$110M,9.589041095890419
79,1AI,ALGORAE PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$10M,-18.749999999999996
80,AQI,ALICANTO MINERALS LIMITED,Materials,$32M,0.0
81,AQX,ALICE QUEEN LIMITED,Materials,$8M,0.0
82,ALK,ALKANE RESOURCES LIMITED,Materials,$306M,1.980198019801982
83,AQZ,ALLIANCE AVIATION SERVICES LIMITED,Transportation,$464M,3.1578947368421
84,AXN,ALLIANCE NICKEL LIMITED,Materials,$30M,0.0
85,AGE,ALLIGATOR ENERGY LIMITED,Energy,$124M,3.030303030303033
86,ALM,ALMA METALS LIMITED,Energy,$10M,0.0
87,AII,ALMONTY INDUSTRIES INC.,Materials,$208M,1.0989010989010999
88,A4N,ALPHA HPA LIMITED,Materials,$966M,-1.7241379310344842
89,ALQ,ALS LIMITED,Commercial & Professional Services,$7B,-0.813272608978518
90,ALR,ALTAIR MINERALS LIMITED,Materials,$11M,-16.666666666666668
91,AZI,ALTAMIN LIMITED,Materials,$14M,13.63636363636365
92,ATC,ALTECH BATTERIES LTD,Materials,$88M,6.818181818181825
93,ATH,ALTERITY THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$32M,7.1428571428571495
94,AIQ,ALTERNATIVE INVESTMENT TRUST,Not Applic,$46M,0.0
95,AGH,ALTHEA GROUP HOLDINGS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",NaN,0.0
96,ALV,ALVO MINERALS LIMITED,Materials,$5M,2.500000000000002
97,AMA,AMA GROUP LIMITED,Commercial & Professional Services,$268M,-1.7241379310344842
98,3DA,AMAERO INTERNATIONAL LTD,Capital Goods,$157M,4.0000000000000036
99,AMO,AMBERTECH LIMITED,Technology Hardware & Equipment,$15M,3.225806451612906
100,AMH,AMCIL LIMITED,Not Applic,$377M,0.8510638297872347
101,AMC,AMCOR PLC,Materials,$22B,-0.13123359580052213
102,ARR,AMERICAN RARE EARTHS LIMITED,Materials,$134M,1.8867924528301903
103,AW1,AMERICAN WEST METALS LIMITED,Materials,$26M,23.255813953488378
104,AL3,AML3D LIMITED,Capital Goods,$83M,15.624999999999996
105,AOV,AMOTIV LIMITED,Automobiles & Components,$1B,1.046622264510002
106,AMP,AMP LIMITED,Financial Services,$4B,1.8750000000000016
107,ATX,AMPLIA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$33M,1.2048192771084347
108,AEL,AMPLITUDE ENERGY LIMITED,Energy,$504M,-1.250000000000001
109,ALD,AMPOL LIMITED,Energy,$7B,2.889305816135096
110,AN1,ANAGENICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",NaN,0.0
111,ANR,ANATARA LIFESCIENCES LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$9M,-7.843137254901955
112,ANX,ANAX METALS LIMITED,Materials,$11M,-7.692307692307686
113,ASL,ANDEAN SILVER LIMITED,Materials,$125M,-2.906976744186049
114,ADN,ANDROMEDA METALS LIMITED,Materials,$24M,-7.142857142857137
115,ATM,ANEKA TAMBANG (PERSERO) TBK (PT),Materials,$5B,0.0
116,ANN,ANSELL LIMITED,Health Care Equipment & Services,$5B,2.152167323431345
117,ASN,ANSON RESOURCES LIMITED,Materials,$78M,3.5714285714285747
118,AM5,ANTARES METALS LIMITED,Materials,$6M,20.0
119,ADO,ANTEOTECH LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$49M,1.927470528863119e-14
120,AVR,ANTERIS TECHNOLOGIES GLOBAL CORP.,Health Care Equipment & Services,$318M,-10.951327433628302
121,AAU,ANTILLES GOLD LIMITED,Materials,$7M,16.666666666666668
122,AZY,ANTIPA MINERALS LIMITED,Materials,$126M,2.0000000000000018
123,ANZ,ANZ GROUP HOLDINGS LIMITED,Banks,$86B,0.559245019224048
124,APA,APA GROUP,Utilities,$9B,2.6950354609929135
125,APC,APC MINERALS LIMITED,Materials,$1M,0.0
126,AHX,APIAM ANIMAL HEALTH LIMITED,Health Care Equipment & Services,$71M,6.666666666666672
127,AON,APOLLO MINERALS LIMITED,Materials,$10M,0.0
128,AONN,APOLLO MINERALS LIMITED,Materials,$10M,0.0
129,APX,APPEN LIMITED,Software & Services,$571M,20.047169811320746
130,AQN,AQUIRIAN LIMITED,Commercial & Professional Services,$15M,5.8823529411764595
131,ARU,ARAFURA RARE EARTHS LTD,Materials,$283M,4.545454545454549
132,ARB,ARB CORPORATION LIMITED.,Automobiles & Components,$3B,2.8500000000000014
133,ARC,ARC FUNDS LIMITED,Financial Services,$4M,1.5951480238867192e-14
134,AM7,ARCADIA MINERALS LIMITED,Materials,$2M,0.0
135,LTM,ARCADIUM LITHIUM PLC,Materials,$8B,4.8101265822784685
136,AXE,ARCHER MATERIALS LIMITED,Semiconductors & Semiconductor Equipment,$107M,14.130434782608695
137,AR9,ARCHTIS LIMITED,Software & Services,$18M,-3.0769230769230798
138,ARL,ARDEA RESOURCES LIMITED,Materials,$62M,1.5625000000000013
139,ADV,ARDIDEN LTD,Materials,$9M,3.8461538461538494
140,ARF,ARENA REIT.,Equity Real Estate Investment Trusts (REITs),$2B,3.580562659846539
141,AGN,ARGENICA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$83M,4.032258064516133
142,RGT,ARGENT BIOPHARMA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$8M,-8.823529411764714
143,ARD,ARGENT MINERALS LIMITED,Materials,$25M,5.8823529411764754
144,ALI,ARGO GLOBAL LISTED INFRASTRUCTURE LIMITED,Not Applic,$404M,-2.5641025641025474
145,ARG,ARGO INVESTMENTS LIMITED,Not Applic,$7B,1.5801354401805934
146,AGY,ARGOSY MINERALS LIMITED,Materials,$41M,3.5714285714285747
147,ARA,ARIADNE AUSTRALIA LIMITED,Commercial & Professional Services,$105M,0.0
148,ARI,ARIKA RESOURCES LIMITED,Materials,$17M,1.3344026738283132e-14
149,ALL,ARISTOCRAT LEISURE LIMITED,Consumer Services,$43B,1.7995610826627713
150,AZL,ARIZONA LITHIUM LIMITED,Materials,$54M,-3.8461538461538365
151,AHK,ARK MINES LIMITED,Materials,$8M,-12.499999999999995
152,A1N,ARN MEDIA LIMITED,Media & Entertainment,$224M,2.8368794326241162
153,ARX,AROA BIOSURGERY LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$255M,10.791366906474831
154,ALA,AROVELLA THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$180M,-5.555555555555546
155,AMD,ARROW MINERALS LTD,Materials,$26M,-25.0
156,ARV,ARTEMIS RESOURCES LIMITED,Materials,$16M,-11.111111111111104
157,ATG,ARTICORE GROUP LIMITED,Consumer Discretionary Distribution & Retail,$75M,-6.77966101694914
158,AYA,ARTRYA LIMITED,Health Care Equipment & Services,$44M,3.1914893617021307
159,AAJ,ARUMA RESOURCES LIMITED,Materials,$2M,0.0
160,AS1,ASARA RESOURCES LIMITED,Materials,$18M,-18.18181818181817
161,AFA,ASF GROUP LIMITED,Financial Services,$4M,0.0
162,ASH,ASHLEY SERVICES GROUP LIMITED,Commercial & Professional Services,$24M,-2.9411764705882377
163,AZ9,ASIAN BATTERY METALS PLC,Materials,$26M,2.0833333333333353
164,AS2,ASKARI METALS LIMITED,Materials,$3M,0.0
165,APZ,ASPEN GROUP,Equity Real Estate Investment Trusts (REITs),$482M,-1.1952191235059684
166,ASP,ASPERMONT LIMITED.,Media & Entertainment,$15M,50.0
167,AKM,ASPIRE MINING LIMITED,Materials,$127M,-5.660377358490571
168,ASR,ASRA MINERALS LIMITED,Materials,$7M,0.0
169,ASV,ASSET VISION CO LTD,Commercial & Professional Services,$15M,-16.666666666666668
170,AO1,ASSETOWL LIMITED,Software & Services,NaN,0.0
171,APL,ASSOCIATE GLOBAL PARTNERS LIMITED,Financial Services,$8M,-9.090909090909099
172,ASO,ASTON MINERALS LIMITED,Materials,$12M,-10.000000000000009
173,AAR,ASTRAL RESOURCES NL,Materials,$180M,3.448275862068969
174,ATR,ASTRON CORPORATION LIMITED,Materials,$126M,-2.400000000000002
175,ASE,ASTUTE METALS NL,Materials,$14M,3.84615384615385
176,ASX,ASX LIMITED,Financial Services,$13B,1.0849633251833863
177,AHN,ATHENA RESOURCES LIMITED,Materials,$5M,0.0
178,AHNN,ATHENA RESOURCES LIMITED,Materials,$5M,0.0
179,A11,ATLANTIC LITHIUM LIMITED,Materials,$204M,3.703703703703707
