Sym,Name,Industry,M Cap,%5d
CBA,COMMONWEALTH BANK OF AUSTRALIA.,Banks,$259B,-3.73
BHP,BHP GROUP LIMITED,Materials,$202B,-1.27
CSL,CSL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$135B,0.66
NAB,NATIONAL AUSTRALIA BANK LIMITED,Banks,$114B,-2.09
WBC,WESTPAC BANKING CORPORATION,Banks,$111B,-0.64
MQG,MACQUARIE GROUP LIMITED,Financial Services,$85B,-1.89
ANZ,ANZ GROUP HOLDINGS LIMITED,Banks,$85B,-2.31
SQ2,BLOCK INC.,Financial Services,$83B,-2.82
WES,WESFARMERS LIMITED,Consumer Discretionary Distribution & Retail,$82B,-3.67
GMG,GOODMAN GROUP,Equity Real Estate Investment Trusts (REITs),$70B,-0.6
NEM,NEWMONT CORPORATION,Materials,$69B,-1.74
FMG,FORTESCUE LTD,Materials,$57B,-1.45
RMD,RESMED INC,Health Care Equipment & Services,$54B,-3.37
TLS,TELSTRA GROUP LIMITED,Telecommunication Services,$46B,1.0
WDS,WOODSIDE ENERGY GROUP LTD,Energy,$45B,2.68
RIO,RIO TINTO LIMITED,Materials,$43B,-1.98
ALL,ARISTOCRAT LEISURE LIMITED,Consumer Services,$43B,-0.69
TCL,TRANSURBAN GROUP,Transportation,$43B,4.09
WTC,WISETECH GLOBAL LIMITED,Software & Services,$41B,2.83
WOW,WOOLWORTHS GROUP LIMITED,Consumer Staples Distribution & Retail,$37B,-1.4
REA,REA GROUP LTD,Media & Entertainment,$31B,-3.74
QBE,QBE INSURANCE GROUP LIMITED,Insurance,$29B,2.79
NWSLV,NEWS CORPORATION..,Media & Entertainment,$29B,0.0
NWS,NEWS CORPORATION..,Media & Entertainment,$29B,0.94
PME,PRO MEDICUS LIMITED,Health Care Equipment & Services,$27B,-2.74
BXB,BRAMBLES LIMITED,Commercial & Professional Services,$27B,-0.52
XRO,XERO LIMITED,Software & Services,$26B,-1.43
COL,COLES GROUP LIMITED.,Consumer Staples Distribution & Retail,$25B,0.0
SUN,SUNCORP GROUP LIMITED,Insurance,$25B,0.1
AMC,AMCOR PLC,Materials,$22B,-2.64
JHX,JAMES HARDIE INDUSTRIES PLC,Materials,$22B,-5.42
STO,SANTOS LIMITED,Energy,$21B,1.56
IAG,INSURANCE AUSTRALIA GROUP LIMITED,Insurance,$20B,-1.05
FPH,FISHER & PAYKEL HEALTHCARE CORPORATION LIMITED,Health Care Equipment & Services,$20B,-0.37
CPU,COMPUTERSHARE LIMITED.,Commercial & Professional Services,$20B,1.99
COH,COCHLEAR LIMITED,Health Care Equipment & Services,$19B,-0.53
SGH,SGH LIMITED,Capital Goods,$19B,-0.28
ORG,ORIGIN ENERGY LIMITED,Utilities,$19B,4.31
SCG,SCENTRE GROUP,Equity Real Estate Investment Trusts (REITs),$18B,1.15
NST,NORTHERN STAR RESOURCES LTD,Materials,$18B,-4.29
URW,UNIBAIL-RODAMCO-WESTFIELD,Equity Real Estate Investment Trusts (REITs),$17B,-0.17
AAI,ALCOA CORPORATION,Materials,$16B,1.87
S32,SOUTH32 LIMITED,Materials,$15B,0.29
REH,REECE LIMITED,Capital Goods,$15B,-3.71
CAR,CAR GROUP LIMITED,Media & Entertainment,$14B,-0.87
QAN,QANTAS AIRWAYS LIMITED,Transportation,$14B,-0.33
MEZ,MERIDIAN ENERGY LIMITED,Utilities,$14B,6.63
SHL,SONIC HEALTHCARE LIMITED,Health Care Equipment & Services,$13B,-1.78
AIA,AUCKLAND INTERNATIONAL AIRPORT LIMITED,Transportation,$13B,3.1
ASX,ASX LIMITED,Financial Services,$13B,-1.74
SOL,WASHINGTON H SOUL PATTINSON & COMPANY LIMITED,Financial Services,$13B,-0.91
LNW,LIGHT & WONDER INC.,Consumer Services,$12B,-4.23
SGP,STOCKLAND,Equity Real Estate Investment Trusts (REITs),$12B,0.0
TLC,THE LOTTERY CORPORATION LIMITED,Consumer Services,$11B,-2.14
